player_id,player_name,position,draft_year,draft_round,overall_pick,nfl_team_drafted,nfl_season,career_year,games,ppr_points,ppr_per_game,receptions,receiving_yards,receiving_tds,rushing_yards,rushing_tds,source,source_notes
00-0001218,,QB,1987,4,110,RAI,1999,13,12,16.5,1.375,0.0,0.0,0.0,105.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005741,,QB,1987,4,98,NWE,1999,13,12,39.9,3.325,1.0,-3.0,0.0,272.0,2.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0006808,,QB,1987,1,26,CHI,1999,13,11,11.8,1.073,0.0,0.0,0.0,118.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0011244,,QB,1987,1,13,ATL,1999,13,2,4.0,2.0,0.0,0.0,0.0,40.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,1999,13,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0001218,,QB,1987,4,110,RAI,2000,14,13,15.7,1.208,0.0,0.0,0.0,97.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005741,,QB,1987,4,98,NWE,2000,14,18,74.8,4.156,0.0,0.0,0.0,508.0,4.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0006808,,QB,1987,1,26,CHI,2000,14,4,2.1,0.525,0.0,0.0,0.0,21.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2000,14,5,3.2,0.64,0.0,0.0,0.0,32.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005741,,QB,1987,4,98,NWE,2001,15,17,36.2,2.129,0.0,0.0,0.0,242.0,2.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2001,15,6,2.6,0.433,0.0,0.0,0.0,26.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0001218,,QB,1987,4,110,RAI,2002,16,1,6.9,6.9,0.0,0.0,0.0,9.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005741,,QB,1987,4,98,NWE,2002,16,16,43.7,2.731,0.0,0.0,0.0,197.0,4.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2002,16,1,2.1,2.1,0.0,0.0,0.0,21.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0001218,,QB,1987,4,110,RAI,2003,17,3,1.3,0.433,0.0,0.0,0.0,13.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005741,,QB,1987,4,98,NWE,2003,17,6,1.8,0.3,0.0,0.0,0.0,18.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2003,17,2,1.3,0.65,0.0,0.0,0.0,13.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0005741,,QB,1987,4,98,NWE,2004,18,2,2.6,1.3,0.0,0.0,0.0,26.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2004,18,6,10.2,1.7,0.0,0.0,0.0,42.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2005,19,3,12.4,4.133,0.0,0.0,0.0,4.0,2.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2006,20,0,-0.9,0.0,0.0,0.0,0.0,-9.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016193,,QB,1987,1,1,TAM,2007,21,3,2.2,0.733,0.0,0.0,0.0,22.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002058,,WR,1988,1,6,RAI,1999,12,16,258.9,16.181,89.0,1335.0,6.0,4.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002876,,QB,1988,3,76,IND,1999,12,7,10.6,1.514,0.0,0.0,0.0,46.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0004705,,WR,1988,3,60,SDG,1999,12,5,14.3,2.86,6.0,83.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0008044,,WR,1988,1,11,DAL,1999,12,4,44.7,11.175,10.0,167.0,3.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0009237,,TE,1988,12,320,MIA,1999,12,4,21.5,5.375,5.0,45.0,2.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016331,,RB,1988,2,40,BUF,1999,12,4,28.9,7.225,3.0,37.0,1.0,162.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002058,,WR,1988,1,6,RAI,2000,13,18,263.6,14.644,80.0,1164.0,11.0,12.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002876,,QB,1988,3,76,IND,2000,13,7,6.6,0.943,1.0,-4.0,0.0,60.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0009237,,TE,1988,12,320,MIA,2000,13,1,1.7,1.7,1.0,7.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016331,,RB,1988,2,40,BUF,2000,13,8,39.3,4.912,13.0,91.0,1.0,112.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002058,,WR,1988,1,6,RAI,2001,14,18,285.5,15.861,99.0,1220.0,10.0,45.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002876,,QB,1988,3,76,IND,2001,14,8,8.4,1.05,0.0,0.0,0.0,84.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002058,,WR,1988,1,6,RAI,2002,15,19,214.3,11.279,94.0,1064.0,2.0,19.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002876,,QB,1988,3,76,IND,2002,15,5,3.2,0.64,0.0,0.0,0.0,32.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002058,,WR,1988,1,6,RAI,2003,16,16,119.7,7.481,51.0,563.0,2.0,4.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002876,,QB,1988,3,76,IND,2003,16,7,3.5,0.5,0.0,0.0,0.0,35.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002058,,WR,1988,1,6,RAI,2004,17,10,50.0,5.0,24.0,200.0,1.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0002876,,QB,1988,3,76,IND,2004,17,1,0.2,0.2,0.0,0.0,0.0,2.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0000104,,QB,1989,1,1,DAL,1999,11,6,7.0,1.167,0.0,0.0,0.0,10.0,1.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0003681,,TE,1989,6,158,NYG,1999,11,6,14.5,2.417,9.0,55.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0008660,,RB,1989,2,39,DAL,1999,11,1,1.4,1.4,1.0,4.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0010477,,WR,1989,5,126,NYJ,1999,11,16,208.6,13.037,71.0,1082.0,5.0,-6.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0011151,,RB,1989,1,13,CLE,1999,11,8,26.3,3.288,11.0,133.0,0.0,20.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0012732,,QB,1989,6,141,DET,1999,11,0,-0.1,0.0,0.0,0.0,0.0,-1.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013770,,WR,1989,1,22,IND,1999,11,12,42.8,3.567,21.0,218.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0016534,,QB,1989,2,51,SDG,1999,11,9,31.5,3.5,0.0,0.0,0.0,135.0,3.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0017109,,TE,1989,2,56,SFO,1999,11,16,217.2,13.575,63.0,822.0,12.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0000104,,QB,1989,1,1,DAL,2000,12,4,1.3,0.325,0.0,0.0,0.0,13.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0003681,,TE,1989,6,158,NYG,2000,12,5,8.7,1.74,5.0,37.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0010477,,WR,1989,5,126,NYJ,2000,12,9,70.5,7.833,28.0,419.0,0.0,6.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0013770,,WR,1989,1,22,IND,2000,12,16,139.0,8.688,42.0,610.0,6.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0017109,,TE,1989,2,56,SFO,2000,12,8,83.5,10.438,30.0,415.0,2.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0003681,,TE,1989,6,158,NYG,2001,13,1,1.5,1.5,1.0,5.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0010477,,WR,1989,5,126,NYJ,2001,13,11,109.8,9.982,37.0,548.0,3.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0011151,,RB,1989,1,13,CLE,2001,13,3,5.9,1.967,4.0,19.0,0.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0017109,,TE,1989,2,56,SFO,2001,13,13,118.2,9.092,43.0,452.0,5.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0011151,,RB,1989,1,13,CLE,2002,14,1,0.7,0.7,0.0,0.0,0.0,7.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0012732,,QB,1989,6,141,DET,2002,14,5,1.4,0.28,0.0,0.0,0.0,14.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
00-0017109,,TE,1989,2,56,SFO,2002,14,11,67.1,6.1,19.0,241.0,4.0,0.0,0.0,nflverse_public_release,player_stats=download:data\external\nflverse\player_stats.csv; draft_picks=download:data\external\nflverse\draft_picks.csv; source_mode=weekly_aggregated
