NAME	POS	SCHOOL	HT	WT	BMI	40YD	SPEED	VERTICAL	BROAD	BENCH	3CONE	SHUTTLE	YEAR	ROUND	SPORQ
Jeremy McNichols	RB	Boise St.	5' 9"	214	31.60	4.49	105.3	35.5	121.0	-	6.93	4.28	2017	5	79.0
Lamont Jordan	RB	Maryland	5' 10"	234	33.57	4.57	107.3	-	-	24	-	-	2001	2	78.8
Tyler Gaffney	RB	Stanford	5' 11"	220	30.68	4.49	108.3	36.5	116.0	-	6.78	4.18	2014	6	78.7
Tykevious Chandler	RB	North Carolina	5' 10"	188	26.97	4.38	110.9	31.0	121.0	-	-	-	2022	5	78.5
C.J. Prosise	RB	Notre Dame	6' 0"	220	29.83	4.48	109.2	35.5	121.0	-	-	-	2016	3	78.4
Ray Rice	RB	Rutgers	5' 8"	199	30.25	4.42	104.3	31.5	119.0	23	6.65	4.20	2008	2	78.2
Kimani Vidal	RB	Troy	5' 8"	213	32.38	4.46	107.7	37.5	120.0	18	7.01	4.15	2024	6	78.1
Jerome Harrison	RB	Washington St.	5' 9"	201	29.68	4.47	100.7	34.5	124.0	19	6.77	4.07	2006	5	78.0
Trestan Ebner	RB	Baylor	5' 11"	206	28.73	4.43	107.0	30.0	-	-	-	-	2022	6	77.8
DeShawn Wynn	RB	Florida	5' 10"	232	33.28	4.47	116.2	31.5	115.0	-	-	-	2007	7	77.7
Clinton Portis	RB	Miami (FL)	5' 11"	204	28.45	4.42	106.9	-	-	-	-	-	2002	2	77.5
Jamie Harper	RB	Clemson	5' 11"	233	32.49	4.53	110.7	36.5	120.0	24	7.16	4.39	2011	4	77.4
DeMarco Murray	RB	Oklahoma	6' 0"	213	28.88	4.37	116.8	34.5	124.0	21	7.28	4.18	2011	3	77.3
Joe Williams	RB	Utah	5' 11"	210	29.29	4.41	111.0	35.0	125.0	14	7.19	4.19	2017	4	77.1
Ezekiel Elliott	RB	Ohio St.	6' 0"	225	30.51	4.47	112.7	32.5	118.0	-	-	-	2016	1	76.8
Cecil Sapp	RB	Colorado St.	5' 11"	229	31.94	4.55	106.9	-	-	-	-	-	2003	-	76.8
Trevor Etienne	RB	Georgia	5' 9"	198	29.24	4.42	103.8	35.0	124.0	15	-	-	2025	4	76.7
Michael Bush	RB	Louisville	6' 1"	243	32.06	4.62	106.7	-	-	-	-	-	2007	4	76.5
Jahvid Best	RB	California	5' 10"	199	28.55	4.34	112.2	32.5	113.0	18	6.75	4.17	2010	1	76.4
Kendall Hunter	RB	Oklahoma St.	5' 7"	199	31.16	4.46	100.6	35.0	122.0	24	6.74	4.21	2011	4	76.3
Doug Chapman	RB	Marshall	5' 10"	215	30.85	4.56	99.5	38.5	128.0	16	6.84	4.20	2000	3	76.1
Terrance West	RB	Towson	5' 9"	225	33.22	4.56	104.1	33.5	120.0	16	-	-	2014	3	76.0
Todd Gurley	RB	Georgia	6' 1"	222	29.29	4.52	106.4	-	-	17	-	-	2015	1	75.7
Jake Funk	RB	Maryland	5' 10"	204	29.27	4.48	101.3	38.0	122.0	22	6.71	4.12	2021	7	75.6
Wendell Smallwood	RB	West Virginia	5' 10"	208	29.84	4.47	104.2	33.5	120.0	14	6.83	4.28	2016	5	75.4
LaMichael James	RB	Oregon	5' 8"	194	29.49	4.35	108.4	35.0	123.0	15	6.88	4.12	2012	2	75.3
Damien Martinez	RB	Miami (FL)	5' 11.5"	217	29.84	4.51	104.9	35.0	124.0	-	-	-	2025	7	75.1
Lonyae Miller	RB	Fresno St.	5' 11"	221	30.82	4.43	114.8	36.5	120.0	26	7.20	4.54	2010	-	74.8
Ian Johnson	RB	Boise St.	5' 11"	212	29.56	4.41	112.1	33.0	116.0	26	6.93	4.18	2009	-	74.8
Javorius Allen	RB	USC	6' 0"	221	29.97	4.53	105.0	35.5	121.0	11	6.96	4.28	2015	4	74.7
Shonn Greene	RB	Iowa	5' 10"	227	32.57	4.55	105.9	37.0	121.0	19	7.10	4.40	2009	3	74.6
Brandon Saine	RB	Ohio St.	5' 11"	220	30.68	4.40	117.4	34.5	113.0	22	6.98	4.25	2011	-	74.4
Travis Prentice	RB	Miami (OH)	6' 0"	225	30.51	4.50	109.7	37.0	115.0	23	6.92	4.40	2000	3	74.3
Kevin Smith	RB	Central Florida	6' 1"	217	28.63	4.53	103.1	32.0	120.0	-	6.74	4.49	2008	3	74.1
D'vonte Price	RB	Florida International	6' 1"	210	27.70	4.38	114.1	34.0	119.0	-	-	-	2022	-	74.0
Tre Mason	RB	Auburn	5' 8"	207	31.47	4.50	101.0	38.5	126.0	-	-	4.15	2014	3	73.7
Lorenzo Taliaferro	RB	Coastal Carolina	6' 0"	229	31.05	4.58	104.1	33.0	118.0	18	6.88	4.22	2014	4	73.7
J.R. Redmond	RB	Arizona St.	5' 11"	216	30.12	4.48	107.2	32.5	121.0	-	-	-	2000	3	73.6
Kenyan Drake	RB	Alabama	6' 1"	210	27.70	4.45	107.1	34.5	123.0	10	7.04	4.21	2016	3	73.4
Javarris Williams	RB	Tennessee St.	5' 9"	223	32.93	4.51	107.8	33.5	116.0	25	-	-	2009	7	73.3
D'Andre Swift	RB	Georgia	5' 8"	212	32.23	4.48	105.3	35.5	121.0	-	-	-	2020	2	73.1
Tre Madden	RB	USC	6' 0"	223	30.24	4.53	105.9	-	-	24	-	-	2016	-	73.0
Lache Seastrunk	RB	Baylor	5' 9"	201	29.68	4.51	97.2	41.5	134.0	15	-	-	2014	6	72.9
James Starks	RB	Buffalo	6' 2"	218	27.99	4.50	106.3	36.0	119.0	15	6.89	4.23	2010	6	72.7
Tim Cornett	RB	UNLV	6' 0"	209	28.34	4.48	103.8	34.5	125.0	-	7.01	4.26	2014	-	72.6
Andre Williams	RB	Boston Col.	5' 11"	230	32.07	4.56	106.4	38.0	129.0	-	7.27	4.06	2014	4	72.4
Brian Hill	RB	Wyoming	6' 1"	219	28.89	4.54	103.1	34.0	125.0	15	7.03	4.32	2017	5	72.3
Quinton Ganther	RB	Utah	5' 9"	218	32.19	4.50	106.3	35.0	119.0	29	7.19	-	2006	7	72.1
George Atkinson	RB	Notre Dame	6' 1"	218	28.76	4.48	108.2	38.0	121.0	19	7.07	4.46	2014	-	72.0
Mike Weber	RB	Ohio St.	5' 10"	211	30.27	4.47	105.7	33.5	-	22	-	-	2019	7	71.9
Le'Veon Bell	RB	Michigan St.	6' 1"	230	30.34	4.60	102.7	31.5	118.0	24	6.75	4.24	2013	2	71.7
Devon Achane	RB	Texas A&M	5' 8.5"	188	28.17	4.32	108.0	33.0	-	-	-	-	2023	3	71.6
Joshua Kelley	RB	UCLA	5' 11"	212	29.56	4.49	104.3	31.0	121.0	23	6.95	4.28	2020	4	71.4
Mike Goodson	RB	Texas A&M	6' 0"	208	28.21	4.43	108.0	39.5	118.0	14	6.89	4.22	2009	4	71.3
Melvin Gordon	RB	Wisconsin	6' 1"	215	28.36	4.52	103.0	35.0	126.0	19	7.04	4.07	2015	1	71.2
Tahj Brooks	RB	Texas Tech	5' 9"	214	31.60	4.52	102.5	35.0	120.0	16	6.90	4.06	2025	6	71.0
Mike James	RB	Miami (FL)	5' 10"	223	31.99	4.53	105.9	35.0	115.0	28	-	4.62	2013	6	70.9
Jordan Todman	RB	Connecticut	5' 9"	203	29.97	4.40	108.3	38.0	126.0	25	7.24	4.18	2011	6	70.7
Donovan Edwards	RB	Michigan	5' 11.5"	205	28.19	4.44	105.5	38.5	-	23	-	-	2025	-	70.6
Charles Sims	RB	West Virginia	6' 0"	214	29.02	4.48	106.3	37.5	126.0	17	7.16	4.30	2014	3	70.4
DeAngelo Henderson	RB	Coastal Carolina	5' 7"	208	32.57	4.48	103.3	34.0	120.0	20	-	-	2017	-	70.3
Morgan Kane	RB	Wake Forest	6' 1"	221	29.15	4.62	97.0	37.5	121.0	29	6.81	4.16	2000	-	70.2
Terrance Ganaway	RB	Baylor	5' 11"	239	33.33	4.61	105.8	37.5	119.0	-	7.15	4.25	2012	6	70.0
Karlos Williams	RB	Florida St.	6' 1"	230	30.34	4.48	114.2	33.5	117.0	16	7.16	4.46	2015	5	69.9
Christian McCaffrey	RB	Stanford	5' 11"	202	28.17	4.48	100.3	37.5	121.0	10	6.57	4.22	2017	1	69.7
Kory Sheets	RB	Purdue	5' 11"	208	29.01	4.39	112.0	37.0	121.0	15	7.18	4.39	2009	-	69.6
Chris Warren	RB	Texas	6' 2"	247	31.71	4.69	102.1	33.0	121.0	25	6.98	4.18	2018	-	69.5
Jarquez Hunter	RB	Auburn	5' 9.5"	204	29.69	4.44	105.0	33.5	120.0	21	-	-	2025	4	69.3
Damien Williams	RB	Oklahoma	5' 11"	222	30.96	4.45	113.2	35.5	121.0	16	7.37	4.25	2014	-	69.2
Darrell Henderson	RB	Memphis	5' 8"	208	31.62	4.49	102.4	33.5	121.0	22	-	-	2019	3	69.0
Keaontay Ingram	RB	USC	6' 0"	221	29.97	4.53	105.0	34.5	122.0	-	-	-	2022	6	68.9
C.J. Spiller	RB	Clemson	5' 11"	196	27.33	4.37	107.5	-	-	18	-	-	2010	1	68.6
James Cook	RB	Georgia	5' 11"	199	27.75	4.42	104.3	33.0	124.0	-	-	-	2022	2	68.6
Karan Higdon	RB	Michigan	5' 9"	206	30.42	4.49	101.4	34.0	123.0	21	-	-	2019	-	68.5
Ryquell Armstead	RB	Temple	5' 11"	220	30.68	4.45	112.2	30.0	114.0	22	7.02	4.29	2019	5	68.3
Knowshon Moreno	RB	Georgia	5' 11"	217	30.26	4.50	105.8	35.5	115.0	25	6.84	4.27	2009	1	68.2
